"Day","Items","Note","Amount"
"73","Retail","Revenue - Retail Sales New York - Mouthwash","7488"
"73","Retail","Revenue - Retail Sales New York - Body Wash","13794"
"73","Retail","Revenue - Retail Sales New York - Shampoo","9600"
"73","Retail","Revenue - Retail Sales Chicago - Mouthwash","3264"
"73","Retail","Revenue - Retail Sales Chicago - Body Wash","5611"
"73","Retail","Revenue - Retail Sales Chicago - Shampoo","5022"
"73","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","870"
"73","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1120"
"73","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1178"
"73","Retail","Revenue - Retail Sales Miami - Mouthwash","448"
"73","Retail","Revenue - Retail Sales Miami - Body Wash","480"
"73","Retail","Revenue - Retail Sales Miami - Shampoo","558"
"73","Retail","Revenue - Retail Sales San Francisco - Mouthwash","2850"
"73","Retail","Revenue - Retail Sales San Francisco - Body Wash","3720"
"73","Retail","Revenue - Retail Sales San Francisco - Shampoo","3162"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","(864)"
"73","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"73","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","(1400)"
"73","Rental Expense","Cash Payment - RentalNew York","(5360)"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","(2320)"
"73","Rental Expense","Cash Payment - RentalChicago","(2960)"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","(7888)"
"73","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","(310)"
"73","Rental Expense","Cash Payment - RentalMiami","(2240)"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee San Francisco","(118)"
"73","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10934","(201600)"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10934","(228480)"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10934","(255360)"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11187","(77250)"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11187","(87550)"
"72","Wholesales (B2B)","Revenue - B2B SO ID: 10429","223652"
"72","Wholesales (B2B)","Revenue - B2B SO ID: 10438","218229"
"72","Human Resource Expense","Counselled","(2000)"
"72","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"72","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"72","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"72","Salary Expense","Cash Payment - Salary Expense","(24140)"
"72","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","8992"
"72","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8480"
"72","Retail","Revenue - Retail Sales Los Angeles - Shampoo","11328"
"72","Retail","Revenue - Retail Sales New York - Mouthwash","7392"
"72","Retail","Revenue - Retail Sales New York - Body Wash","13431"
"72","Retail","Revenue - Retail Sales New York - Shampoo","8608"
"72","Retail","Revenue - Retail Sales Chicago - Mouthwash","3502"
"72","Retail","Revenue - Retail Sales Chicago - Body Wash","5952"
"72","Retail","Revenue - Retail Sales Chicago - Shampoo","4805"
"72","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","270"
"72","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","352"
"72","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","372"
"72","Retail","Revenue - Retail Sales Miami - Mouthwash","416"
"72","Retail","Revenue - Retail Sales Miami - Body Wash","480"
"72","Retail","Revenue - Retail Sales Miami - Shampoo","558"
"72","Retail","Revenue - Retail Sales San Francisco - Mouthwash","2490"
"72","Retail","Revenue - Retail Sales San Francisco - Body Wash","3510"
"72","Retail","Revenue - Retail Sales San Francisco - Shampoo","3565"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","(928)"
"72","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"72","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","(1680)"
"72","Rental Expense","Cash Payment - RentalNew York","(5360)"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","(2320)"
"72","Rental Expense","Cash Payment - RentalChicago","(2960)"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","(7888)"
"72","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","(310)"
"72","Rental Expense","Cash Payment - RentalMiami","(2240)"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee San Francisco","(118)"
"72","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10944","(134400)"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10944","(152320)"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10944","(170240)"
"71","Wholesales (B2B)","Revenue - B2B SO ID: 10251","104220"
"71","Wholesales (B2B)","Revenue - B2B SO ID: 10061","374720"
"71","Human Resource Expense","Counselled","(2000)"
"71","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"71","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"71","Salary Expense","Cash Payment - Salary Expense","(24556)"
"71","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10613","(300)"
"71","Sales E Commerce","Revenue - E-Commerce Sales","15075"
"71","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10631","(400)"
"71","Sales E Commerce","Revenue - E-Commerce Sales","22102"
"71","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10789","(400)"
"71","Sales E Commerce","Revenue - E-Commerce Sales","22408"
"71","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10812","(200)"
"71","Sales E Commerce","Revenue - E-Commerce Sales","10693"
"71","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7744"
"71","Retail","Revenue - Retail Sales Los Angeles - Body Wash","9248"
"71","Retail","Revenue - Retail Sales Los Angeles - Shampoo","10336"
"71","Retail","Revenue - Retail Sales New York - Mouthwash","7584"
"71","Retail","Revenue - Retail Sales New York - Body Wash","11880"
"71","Retail","Revenue - Retail Sales New York - Shampoo","8672"
"71","Retail","Revenue - Retail Sales Chicago - Mouthwash","3230"
"71","Retail","Revenue - Retail Sales Chicago - Body Wash","5890"
"71","Retail","Revenue - Retail Sales Chicago - Shampoo","4588"
"71","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1140"
"71","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1504"
"71","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1457"
"71","Retail","Revenue - Retail Sales Miami - Mouthwash","448"
"71","Retail","Revenue - Retail Sales Miami - Body Wash","512"
"71","Retail","Revenue - Retail Sales Miami - Shampoo","527"
"71","Retail","Revenue - Retail Sales San Francisco - Mouthwash","4890"
"71","Retail","Revenue - Retail Sales San Francisco - Body Wash","6360"
"71","Retail","Revenue - Retail Sales San Francisco - Shampoo","6231"
"71","Services","Revenue - Service Sales Order ID: 9893","48000"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","(1024)"
"71","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"71","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"71","Rental Expense","Cash Payment - RentalNew York","(5360)"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","(2400)"
"71","Rental Expense","Cash Payment - RentalChicago","(2960)"
"71","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","(310)"
"71","Rental Expense","Cash Payment - RentalMiami","(2240)"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee San Francisco","(236)"
"71","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10602","(134400)"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10602","(152320)"
"70","Wholesales (B2B)","Revenue - B2B SO ID: 9598","45103"
"70","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 9598","(9000)"
"70","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"70","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"70","Salary Expense","Cash Payment - Salary Expense","(24556)"
"70","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10596","(300)"
"70","Sales E Commerce","Revenue - E-Commerce Sales","16587"
"70","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","8576"
"70","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8384"
"70","Retail","Revenue - Retail Sales Los Angeles - Shampoo","11328"
